title,cover_img,year_released,release_type
Rock In Rio 2001,https://i.discogs.com/9LeBwdVc359mqw_PA7VEpRDXHxWmC_Dnvr35dDXxTy4/rs:fit/g:sm/q:90/h:344/w:350/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ1MzY0/NDktMTM2NzY4ODI3/MC00ODcwLmpwZWc.jpeg,2001,bootleg
Riot Gig,https://i.discogs.com/4f81WzYNDWnReflrU_G-vcbhnhnDHPT688xjOtGmY18/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0NDc2/MjctMTczODQwODcw/NC05MzIxLmpwZWc.jpeg,1999,bootleg
"Hello, It's Good To Be Back!",https://i.discogs.com/e5-UjsIBszmUbKc4wh9_4sqvNqsW26qiojBBuA0bP_M/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgwNjMw/NDUtMTQ1NDQyODM3/Ni0yMDM1LmpwZWc.jpeg,2001,bootleg
Live In Japan 2002,https://i.discogs.com/tolbdd1UgkKwDKOLAJwD4zqyHoeghFFP2SbiZUHdKcQ/rs:fit/g:sm/q:90/h:361/w:359/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MjUx/Mjc0LTE2MDU5OTY0/MTQtNzE5Ny5qcGVn.jpeg,2002,bootleg
Sundance Club New York 1989,https://i.discogs.com/JawKcad3J5CH25_y1-7GYguw_ngwhr8zSpkTrGWK6PI/rs:fit/g:sm/q:90/h:600/w:450/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxMjgz/MTc0LTE3MjE1ODM5/ODEtMTM2Mi5qcGVn.jpeg,1989,bootleg
Live At The Lake,https://i.discogs.com/QrWKcBo9rUE0O6lJK7F359715-zogFSaFoVdOqHeLEA/rs:fit/g:sm/q:90/h:600/w:592/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3NDk4/MDU5LTE2MTM3ODYx/NDctMTgyNi5qcGVn.jpeg,2000,bootleg
Milan 1992,https://i.discogs.com/QRxQQiyQbF3w0s6tge422cCNOHJBwDb6d4gw1hs1lVI/rs:fit/g:sm/q:90/h:600/w:450/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwNDcy/NjA0LTE3MTM3OTE1/NTctNzc1OS5qcGVn.jpeg,1992,bootleg
True Men Don't Kill Coyotes,https://i.discogs.com/9tHg6msS4tTGb1uxdMlD4JZ7AJcfVidavUAaNMMidtE/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4Nzg4/MC0xMjI1MzUyODUz/LmpwZWc.jpeg,1984,single
Catholic School Girls Rule,https://i.discogs.com/9tHg6msS4tTGb1uxdMlD4JZ7AJcfVidavUAaNMMidtE/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4Nzg4/MC0xMjI1MzUyODUz/LmpwZWc.jpeg,1986,single
Higher Ground,https://i.discogs.com/De5MyJn-1KT3Z_ZdTYLJh0k6A_SZ7QTdyoZRUrfvB2w/rs:fit/g:sm/q:90/h:596/w:599/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyMDQw/Njc4LTE2MDA2MDMw/NDUtMzcwNy5qcGVn.jpeg,1989,single
